model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q05,q95,q10,q90
ridge_sgd_l2,L2 one-vs-rest logistic,80,mean_q,mean_q,play,100,0.34189503018515066,0.11406366876950208,0.011406366876950208,0.34029583517988743,0.1497510484362587,0.18549959898177304,0.5261817471576307,0.20148465282048747,0.45661766555265865
set_transformer,Set Transformer,80,mean_q,mean_q,play,100,0.26394067452203346,0.17038274035063442,0.01703827403506344,0.25749977295816817,0.25646408913825497,0.016905481779624254,0.5639273508455426,0.057617471282881666,0.46837546186935575
zoo_cnn,Zoo CNN,80,mean_q,mean_q,play,100,0.8819145067891917,0.45785821014227274,0.045785821014227276,0.8238494519838296,0.5992034092991346,0.24634113973293298,1.7358956123758966,0.3138400172062335,1.5021008135499576
lightgbm_multiclass,LightGBM,160,mean_q,mean_q,play,100,2.018506287369728,0.18211850602684698,0.0182118506026847,2.0118293480226095,0.23835818297377442,1.7324699327082183,2.3090211510393766,1.7797576600614937,2.264491708157985
ridge_sgd_l2,L2 one-vs-rest logistic,160,mean_q,mean_q,play,100,0.31659258717284156,0.10623258652692424,0.010623258652692424,0.3002786486221159,0.1441937595486465,0.1702656149071682,0.5054137963587474,0.19261244864485585,0.448015345108305
set_transformer,Set Transformer,160,mean_q,mean_q,play,100,0.21783328326270068,0.21879836559707716,0.021879836559707717,0.139990528802461,0.3253601387713939,0.0,0.6342987104287506,0.0,0.5209001814602556
zoo_cnn,Zoo CNN,160,mean_q,mean_q,play,100,0.6248805838576484,0.4222932299287064,0.04222932299287064,0.6208886422631605,0.6887882134483481,0.00397273644634487,1.2677249930005188,0.09491565771858107,1.1731686167771316
lightgbm_multiclass,LightGBM,240,mean_q,mean_q,play,100,1.7217568911204735,0.1563396286986259,0.01563396286986259,1.7152464448400502,0.18537243575161133,1.4833419355096757,1.9829101761839405,1.5339048213543132,1.910637484577686
ridge_sgd_l2,L2 one-vs-rest logistic,240,mean_q,mean_q,play,100,0.31921652748931945,0.09056198582541149,0.009056198582541149,0.31680880767514885,0.10846817844986167,0.2012189556338527,0.47002993667719584,0.21390609728315582,0.422701176747727
set_transformer,Set Transformer,240,mean_q,mean_q,play,100,0.20378276046075744,0.208120648163718,0.0208120648163718,0.1363904655332803,0.3143857439846451,0.0,0.5831449098810888,0.0015926640926640307,0.5141117679081222
zoo_cnn,Zoo CNN,240,mean_q,mean_q,play,100,0.4919105642846647,0.3682430851442187,0.03682430851442187,0.4504871710243415,0.6459707634308566,0.0,1.1154998284774256,0.0020514490394007608,1.001357246728066
lightgbm_multiclass,LightGBM,360,mean_q,mean_q,play,100,1.4008180468629847,0.1404330358799215,0.014043303587992152,1.3863535528573667,0.1775872625844921,1.194089929319566,1.6450930357265416,1.2266562079928764,1.5753289813046882
ridge_sgd_l2,L2 one-vs-rest logistic,360,mean_q,mean_q,play,100,0.31561184221081495,0.08797879936562455,0.008797879936562456,0.31492479602181567,0.1134454152581773,0.18761877439150598,0.45319656398607516,0.20210823362808872,0.418098523274142
