metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
crps_game_equal,set_transformer,160,tuned - fixed,20,-7.555574810347038e-05,0.00012004278591572985,2.6842382951602627e-05,-0.00013173750129881294,-1.937399490812782e-05,-0.00029495796863687594,0.00014384647242993517,0.95,8.173723656688466,10000,0.012828936964051971,0.0127533812159485,-0.0058894784747314235,False
coverage_game_equal,set_transformer,160,tuned - fixed,20,0.002173335266588533,0.003716211283110984,0.0008309701047787876,0.0004340948487923759,0.00391257568438469,-0.004618784736842737,0.008965455270019802,0.95,8.173723656688466,10000,0.9225274596176536,0.9247007948842422,0.002355848862742019,False
mean_width_game_equal,set_transformer,160,tuned - fixed,20,0.07684019320178184,0.4222747626513643,0.094423507447104,-0.12079047918660457,0.27447086559016826,-0.6949514633661117,0.8486318497696753,0.95,8.173723656688466,10000,14.556883091187407,14.633723284389191,0.0052786158080983785,False
mean_width_inclusive_game_equal,set_transformer,160,tuned - fixed,20,0.07684019320178201,0.4222747626513649,0.09442350744710412,-0.12079047918660468,0.2744708655901687,-0.6949514633661125,0.8486318497696765,0.95,8.173723656688466,10000,15.556883091187407,15.633723284389191,0.004939305177738984,False
crps,zoo_cnn,160,tuned - fixed,20,-7.119681762536874e-05,0.00014228649060088288,3.18162265263459e-05,-0.00013778894506551295,-4.604690185224509e-06,-0.0003312538610503213,0.00018886022579958387,0.95,8.173723656688466,10000,0.013329518971097512,0.013258322153472144,-0.0053412893428296465,False
coverage,zoo_cnn,160,tuned - fixed,20,0.002367219381866609,0.003794822180122363,0.0008485480357277555,0.0005911879317675346,0.004143250831965683,-0.004568577771597876,0.009303016535331093,0.95,8.173723656688466,10000,0.9182492720904714,0.920616491472338,0.0025779703331290814,False
mean_width,zoo_cnn,160,tuned - fixed,20,0.24686025722755342,0.730740266560487,0.16339849099255652,-0.09513671487387929,0.5888572293289861,-1.088713854065503,1.5824343685206097,0.95,8.173723656688466,10000,14.914004000040856,15.16086425726841,0.016552245609353273,False
mean_width_inclusive,zoo_cnn,160,tuned - fixed,20,0.24686025722755334,0.730740266560487,0.16339849099255652,-0.09513671487387937,0.588857229328986,-1.088713854065503,1.5824343685206097,0.95,8.173723656688466,10000,15.914004000040856,16.160864257268408,0.015512139950883484,False
mean_q,zoo_cnn,160,tuned - fixed,20,-0.0009761215088272786,0.3663624856243914,0.08192114222619286,-0.1724390427528494,0.17048679973519484,-0.6705768997060003,0.6686246566883457,0.95,8.173723656688466,10000,0.46615025499221385,0.4651741334833866,-0.0020940061672680686,False
crps_game_equal,zoo_cnn,160,tuned - fixed,20,-7.215720319057977e-05,0.00014123097993712475,3.158020716683199e-05,-0.00013825533643395534,-6.0590699472042015e-06,-0.000330285089593237,0.0001859706832120775,0.95,8.173723656688466,10000,0.013293822144494987,0.013221664941304409,-0.005427874873477248,False
coverage_game_equal,zoo_cnn,160,tuned - fixed,20,0.002298162356575745,0.003726081463487859,0.0008331771442060753,0.0005543025521692472,0.0040420221609822424,-0.00451199737723359,0.00910832209038508,0.95,8.173723656688466,10000,0.9186764572638466,0.9209746196204224,0.002501601448915443,False
mean_width_game_equal,zoo_cnn,160,tuned - fixed,20,0.24681973655708117,0.7337531395014695,0.1640721898629172,-0.09658730348544409,0.5902267765996064,-1.0942610031301265,1.587900476244289,0.95,8.173723656688466,10000,14.9431502841541,15.189970020711183,0.01651724916524542,False
mean_width_inclusive_game_equal,zoo_cnn,160,tuned - fixed,20,0.24681973655708064,0.7337531395014696,0.16407218986291722,-0.09658730348544467,0.590226776599606,-1.0942610031301274,1.5879004762442885,0.95,8.173723656688466,10000,15.9431502841541,16.18997002071118,0.015481240040896736,False
