task_id,metric,n_train,model_left,model_right,repeats,difference_mean,difference_sd,difference_q10,difference_q90,difference_mcse
bdb2023_sack,game_equal_loss,30,relnet,attn_relnet,100,-4.114697704867068e-06,0.00010247623617355828,-3.175013364276752e-05,1.389902978492788e-05,1.0247623617355828e-05
bdb2023_sack,game_equal_loss,30,relnet,set_transformer,100,-6.804428373931671e-05,0.001358960136761447,-0.0011702069602774936,0.0008638101201882544,0.0001358960136761447
bdb2023_sack,game_equal_loss,30,attn_relnet,set_transformer,100,-6.392958603444965e-05,0.0013683853177460493,-0.0012366513871781878,0.0008577733146429134,0.00013683853177460492
bdb2023_sack,game_equal_loss,40,linear_structure,boosted_structure,100,-0.0017406222465794724,0.0007654843862753525,-0.0027349101069286696,-0.0006779991760652745,7.654843862753525e-05
bdb2023_sack,game_equal_loss,40,linear_structure,relnet,100,-0.0001815835164662527,0.0010395185742521934,-0.0010811227569508008,0.000759662433690326,0.00010395185742521935
bdb2023_sack,game_equal_loss,40,linear_structure,attn_relnet,100,-0.00013937276431700784,0.0008617289833023063,-0.0010578670338643708,0.0007616371427980454,8.617289833023063e-05
bdb2023_sack,game_equal_loss,40,linear_structure,set_transformer,100,-0.0003073668771744501,0.001183741054654942,-0.0016103879792496792,0.000872640087135445,0.0001183741054654942
bdb2023_sack,game_equal_loss,40,boosted_structure,relnet,100,0.0015590387301132197,0.0011244661173382992,0.00028590236808235386,0.002652895689145442,0.00011244661173382992
bdb2023_sack,game_equal_loss,40,boosted_structure,attn_relnet,100,0.001601249482262464,0.0010169776279544767,0.0004177462984724393,0.0025729640378036648,0.00010169776279544767
bdb2023_sack,game_equal_loss,40,boosted_structure,set_transformer,100,0.001433255369405022,0.001299630944649415,-0.00014751938043810266,0.002762996375591727,0.00012996309446494151
bdb2023_sack,game_equal_loss,40,relnet,attn_relnet,100,4.2210752149244855e-05,0.00047903936066798246,-7.956874143850573e-05,1.6214764271171206e-05,4.7903936066798244e-05
bdb2023_sack,game_equal_loss,40,relnet,set_transformer,100,-0.0001257833607081974,0.0012503011757853818,-0.001466560098026848,0.0007482570733598174,0.00012503011757853817
bdb2023_sack,game_equal_loss,40,attn_relnet,set_transformer,100,-0.00016799411285744228,0.0011361648321725644,-0.0014621182762825356,0.0007431889024521508,0.00011361648321725644
bdb2023_sack,game_equal_loss,50,linear_structure,boosted_structure,100,-0.0015418179888933112,0.0008412236359276084,-0.002641810694043996,-0.0006246103338730414,8.412236359276084e-05
bdb2023_sack,game_equal_loss,50,linear_structure,relnet,100,-0.00023586979851142608,0.001037929262864314,-0.0009627453339059483,0.0005378321830068065,0.0001037929262864314
bdb2023_sack,game_equal_loss,50,linear_structure,attn_relnet,100,-0.0002438995242869666,0.0010424994547289592,-0.0008731381187517858,0.0005379840877128988,0.00010424994547289592
bdb2023_sack,game_equal_loss,50,linear_structure,set_transformer,100,-0.00017453862134934675,0.0009657558325793739,-0.0011883648224914924,0.0006962261108683116,9.65755832579374e-05
bdb2023_sack,game_equal_loss,50,boosted_structure,relnet,100,0.0013059481903818849,0.0010500956059520843,0.0003676005131362674,0.0023445358289610994,0.00010500956059520843
bdb2023_sack,game_equal_loss,50,boosted_structure,attn_relnet,100,0.0012979184646063446,0.0010511632281499032,0.00028501609369907185,0.0023480671786167005,0.00010511632281499032
bdb2023_sack,game_equal_loss,50,boosted_structure,set_transformer,100,0.0013672793675439637,0.001014861810543285,0.0002180468412057137,0.0023860194165246165,0.0001014861810543285
bdb2023_sack,game_equal_loss,50,relnet,attn_relnet,100,-8.029725775540523e-06,5.378442281185279e-05,-4.1196103479111676e-05,6.7865744342865425e-06,5.378442281185279e-06
bdb2023_sack,game_equal_loss,50,relnet,set_transformer,100,6.133117716207933e-05,0.0011450938912052852,-0.000797568536643347,0.0009312517623574047,0.00011450938912052852
bdb2023_sack,game_equal_loss,50,attn_relnet,set_transformer,100,6.936090293761986e-05,0.0011466333641816245,-0.0007922055563414909,0.000945997823932744,0.00011466333641816245
