metric,base_metric,aggregation,model,n_train,n_repeats,sd,bootstrap_lower,bootstrap_upper,bca_bias_correction,bca_acceleration,confidence,bootstrap_draws,interval_method
crps_game_equal,crps,game_equal,zoo_cnn,80,100,0.0006163092101637559,0.00048292391570119305,0.0008802351043468875,0.14286094942554084,0.1114616995149313,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,zoo_cnn,160,100,0.0005246871827907664,0.000434243910866694,0.000669160066918093,0.10421340026908517,0.083389860798596,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,zoo_cnn,240,100,0.00036937019173182627,0.00031125749532002393,0.00045993535104984525,0.1281882480984856,0.07309148749961894,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,zoo_cnn,360,100,0.000437137465031859,0.0003700305809312257,0.0005747988548472448,0.14995515022119055,0.11462859242107684,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,set_transformer,20,100,0.00032777241417342493,0.0002869960163028874,0.0003927639184876535,0.13122161184572098,0.06300579392419163,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,set_transformer,40,100,0.0002870012258814334,0.0002556114982933351,0.0003265384610761535,0.11707578313820405,0.0275729927601627,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,set_transformer,80,100,0.00026670463165923966,0.00023668699284370022,0.0003018325700638974,0.09816660462125527,0.0283438925844027,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,set_transformer,160,100,0.00027103083574569944,0.00023855308773072326,0.000312841137832298,0.10925529964619017,0.04158890895217132,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,set_transformer,240,100,0.0002654849275417195,0.00023665387783424748,0.0003005022437344765,0.11732817348232277,0.025073303419404728,0.95,10000,bca_repeat_block
crps_game_equal,crps,game_equal,set_transformer,360,100,0.0002535860436329015,0.0002263169100679905,0.0002889818487062483,0.13400325567523477,0.0306072835524096,0.95,10000,bca_repeat_block
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,20,100,0.00616886032857935,0.005519298852881698,0.007042808627966019,0.10749032548488587,0.037933982623145436,0.95,10000,bca_repeat_block
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,40,100,0.005636352713572903,0.00499348704696105,0.006428508212478161,0.0961518143516292,0.030357240428431305,0.95,10000,bca_repeat_block
coverage_game_equal,coverage,game_equal,ridge_sgd_l2,80,100,0.004626047678788514,0.004022270153682802,0.00535973103862539,0.09161995038847483,0.03403608542365395,0.95,10000,bca_repeat_block
