model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q10,q90
lightgbm_multiclass,LightGBM,80,crps,crps,play,100,0.013838711634908192,0.0002894582294938548,2.8945822949385478e-05,0.013838999627392979,0.0003872796404894487,0.01342396043630438,0.014173966829640833
lightgbm_multiclass,LightGBM,80,coverage,coverage,play,100,0.9137287177987901,0.005661683106657416,0.0005661683106657416,0.9132077946887753,0.006426862188194882,0.9063188125051762,0.921235277123765
lightgbm_multiclass,LightGBM,80,mean_width,mean_width,play,100,14.28641888533497,0.3329954168480174,0.033299541684801745,14.243723958231884,0.43681897078654686,13.919039844052973,14.6968940384467
lightgbm_multiclass,LightGBM,80,mean_width_inclusive,mean_width_inclusive,play,100,15.28641888533497,0.33299541684801753,0.03329954168480175,15.243723958231884,0.43681897078654686,14.919039844052973,15.6968940384467
lightgbm_multiclass,LightGBM,80,mean_q,mean_q,play,100,2.274866885718537,0.19169828730383226,0.019169828730383226,2.255430401237766,0.2679358987061793,2.0488151081561616,2.553166082255606
lightgbm_multiclass,LightGBM,80,crps_game_equal,crps,game_equal,100,0.013787474458756742,0.00028624520049164176,2.8624520049164176e-05,0.013796527565867103,0.0003717117801510274,0.013421188542490237,0.014160061177900977
lightgbm_multiclass,LightGBM,80,coverage_game_equal,coverage,game_equal,100,0.9141918400188959,0.005706162514148841,0.0005706162514148842,0.9134122673854759,0.006539374560956879,0.9072897708343606,0.9216884295086967
lightgbm_multiclass,LightGBM,80,mean_width_game_equal,mean_width,game_equal,100,14.306110075079564,0.33316669477016897,0.0333166694770169,14.267118387227734,0.43128887211351596,13.922956241615836,14.72831020917616
lightgbm_multiclass,LightGBM,80,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,15.306110075079564,0.33316669477016897,0.0333166694770169,15.267118387227736,0.4312888721135142,14.922956241615836,15.728310209176161
lightgbm_multiclass,LightGBM,160,crps,crps,play,100,0.013607204957430372,0.0002837558877805581,2.8375588778055812e-05,0.013629635814560783,0.00039421590102983566,0.013220277148509804,0.01390321195877952
lightgbm_multiclass,LightGBM,160,coverage,coverage,play,100,0.9135344643191966,0.005119476209398558,0.0005119476209398557,0.9134916350432905,0.0073967306838169655,0.9075544649598374,0.919766360861625
lightgbm_multiclass,LightGBM,160,mean_width,mean_width,play,100,13.865484550986505,0.3077022531088078,0.030770225310880778,13.851414713436933,0.4333849177113862,13.496245826695413,14.288558691108962
lightgbm_multiclass,LightGBM,160,mean_width_inclusive,mean_width_inclusive,play,100,14.865484550986505,0.3077022531088078,0.030770225310880778,14.851414713436933,0.4333849177113862,14.496245826695413,15.288558691108962
lightgbm_multiclass,LightGBM,160,mean_q,mean_q,play,100,2.018506287369728,0.18211850602684698,0.0182118506026847,2.0118293480226095,0.23835818297377442,1.7797576600614937,2.264491708157985
lightgbm_multiclass,LightGBM,160,crps_game_equal,crps,game_equal,100,0.013556193544882085,0.0002807501097922369,2.807501097922369e-05,0.013578530066150635,0.0003867273827863789,0.013164772187593984,0.013891905088123211
lightgbm_multiclass,LightGBM,160,coverage_game_equal,coverage,game_equal,100,0.9140214437010521,0.0051558769596675245,0.0005155876959667524,0.9141064309505792,0.007640237513047987,0.9076594878639737,0.9203886398700847
lightgbm_multiclass,LightGBM,160,mean_width_game_equal,mean_width,game_equal,100,13.886082650643388,0.30755269860591233,0.030755269860591232,13.864725613135306,0.43292831993522896,13.516656148253539,14.308379038900304
